MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_001, 1.0.0, , "Role `ROLE_DEVICE_DIAGNOSTIC_POST_COLLECTION` is required"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_002, 1.0.0, , "Property `code` is required"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_003, 1.0.0, , "Property `code` must be a valid uuid"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_004, 1.0.0, , "Property `device` is required"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_005, 1.0.0, , "Property `device` should be a valid IRI to an existing Device."
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_006, 1.0.0, , "Property `ipV4` is required"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_007, 1.0.0, , "Property `ipV4` is a string"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_008, 1.0.0, , "Property `ipV4` has a min length of 7 and a max length of 15 characters"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_009, 1.0.0, , "Property `ipV6` is optional"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_010, 1.0.0, , "Property `ipV6` is a string"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_011, 1.0.0, , "Property `ipV6` has a min length of 12 and a max length of 46 characters"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_012, 1.0.0, , "Property `lastPingAt` is optional"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_013, 1.0.0, , "Property `lastPingAt` should be a valid datetime (`Y-m-d` or `Y-m-d H:i:s`)."
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_014, 1.0.0, , "Property `lastHttpConnectionAt` is optional"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_015, 1.0.0, , "Property `lastHttpConnectionAt` should be a valid datetime (`Y-m-d` or `Y-m-d H:i:s`)."
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_016, 1.0.0, , "Property `lastSshConnectionAt` is optional"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_017, 1.0.0, , "Property `lastSshConnectionAt` should be a valid datetime (`Y-m-d` or `Y-m-d H:i:s`)."
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_018, 1.0.0, , "Property `lastWebsocketConnectionAt` is optional"
MR_DSA_DEVICE_DIAGNOSTIC_POST_COLLECTION_019, 1.0.0, , "Property `lastWebsocketConnectionAt` should be a valid datetime (`Y-m-d` or `Y-m-d H:i:s`)."
