MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_001, 1.0.0, , "Role `ROLE_DEVICE_OUTPUT_POST_COLLECTION` is required"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_002, 1.0.0, , "Property `code` is required"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_003, 1.0.0, , "Property `code` must be a valid uuid"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_004, 1.0.0, , "Property `device` is required"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_005, 1.0.0, , "Property `device` should be a valid IRI to an existing Device."
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_006, 1.0.0, , "Property `modelOutput` is required"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_007, 1.0.0, , "Property `modelOutput` should be a valid IRI to an existing DeviceModelOutput."
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_008, 1.0.0, , "Property `videoStream` is optional"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_009, 1.0.0, , "Property `videoStream` should be a valid IRI to an existing VideoStream."
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_010, 1.0.0, , "Property `videoOverlay` is optional"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_011, 1.0.0, , "Property `videoOverlay` should be a valid IRI to an existing VideoOverlay."
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_012, 1.0.0, , "Property `screen` is optional"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_013, 1.0.0, , "Property `screen` should be a valid IRI to an existing Screen."
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_014, 1.0.0, , "Property `templateModelOutput` is optional"
MR_DSA_DEVICE_OUTPUT_POST_COLLECTION_015, 1.0.0, , "Property `templateModelOutput` should be a valid IRI to an existing TemplateModelOutput."
