MR_DSA_DEVICE_POST_COLLECTION_001, 1.0.0, ,"Role `ROLE_DEVICE_POST_COLLECTION` is required"
MR_DSA_DEVICE_POST_COLLECTION_002, 1.0.0, ,"Property `userGroup` is optional."
MR_DSA_DEVICE_POST_COLLECTION_003, 1.0.0, ,"Property `userGroup` should be a valid IRI to an existing UserGroup."
MR_DSA_DEVICE_POST_COLLECTION_004, 1.0.0, ,"Property `description` is optional."
MR_DSA_DEVICE_POST_COLLECTION_005, 1.0.0, ,"Property `description` is a string."
MR_DSA_DEVICE_POST_COLLECTION_006, 1.0.0, ,"Property `name` is required."
MR_DSA_DEVICE_POST_COLLECTION_007, 1.0.0, ,"Property `name` has a min length of 2 characters."
MR_DSA_DEVICE_POST_COLLECTION_008, 1.0.0, ,"Property `name` has a max length of 255 characters."
MR_DSA_DEVICE_POST_COLLECTION_009, 1.0.0, ,"Property `code` must be a valid uuid."
MR_DSA_DEVICE_POST_COLLECTION_010, 1.0.0, ,"Property `enabled` is required."
MR_DSA_DEVICE_POST_COLLECTION_011, 1.0.0, ,"Property `enabled` is a boolean."
MR_DSA_DEVICE_POST_COLLECTION_012, 1.0.0, ,"Property `model` is required."
MR_DSA_DEVICE_POST_COLLECTION_013, 1.0.0, ,"Property `model` should be a valid IRI to an existing Device Model."
MR_DSA_DEVICE_POST_COLLECTION_014, 1.0.0, ,"Property `site` is required."
MR_DSA_DEVICE_POST_COLLECTION_015, 1.0.0, ,"Property `site` should be a valid IRI to an existing Site."
MR_DSA_DEVICE_POST_COLLECTION_016, 1.0.0, ,"Property `network` is required."
MR_DSA_DEVICE_POST_COLLECTION_017, 1.0.0, ,"Property `network` should be a valid IRI to an existing Network."
MR_DSA_DEVICE_POST_COLLECTION_018, 1.0.0, ,"Property `platform` is required."
MR_DSA_DEVICE_POST_COLLECTION_019, 1.0.0, ,"Property `platform` should be a valid IRI to an existing Platform."
MR_DSA_DEVICE_POST_COLLECTION_020, 1.0.0, ,"Property `comment` is optional."
MR_DSA_DEVICE_POST_COLLECTION_021, 1.0.0, ,"Property `comment` is a string."
MR_DSA_DEVICE_POST_COLLECTION_022, 1.0.0, ,"Property `internalComment` is optional."
MR_DSA_DEVICE_POST_COLLECTION_023, 1.0.0, ,"Property `internalComment` is a string."
MR_DSA_DEVICE_POST_COLLECTION_024, 1.0.0, ,"Property `serialNumber` is required."
