MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_001, 1.0.0, , "Role `ROLE_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION` is required"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_002, 1.0.0, , "Property `name` is required"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_003, 1.0.0, , "Property `name` has a min length of 2 characters"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_004, 1.0.0, , "Property `name` has a max length of 255 characters"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_005, 1.0.0, , "Property `code` is required"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_006, 1.0.0, , "Property `code` must be a valid uuid"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_007, 1.0.0, , "Property `platform` is required"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_008, 1.0.0, , "Property `platform` is a valid IRI of Platform"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_009, 1.0.0, , "Property `templateModel` is optional"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_010, 1.0.0, , "Property `templateModel` is an array of valid IRI of Template Model Output"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_011, 1.0.0, , "Property `number` is required"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_012, 1.0.0, , "Property `number` is an integer"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_013, 1.0.0, , "Property `templateModel` is required"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_014, 1.0.0, , "Property `templateModel` is a valid IRI of TemplateModel"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_015, 1.0.0, , "Property `videoStream` is optional"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_016, 1.0.0, , "Property `videoStream` is a valid IRI of VideoStream"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_017, 1.0.0, , "Property `videoOverlay` is optional"
MR_DSA_TEMPLATE_MODEL_OUTPUT_POST_COLLECTION_018, 1.0.0, , "Property `videoOverlay` is a valid IRI of VideoOverlay"
